Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
154,"Foster Loyer, Davidson (Atlantic 10)",Sr.,6-0,G,31,152,72,128,504,16.3,2023
155,"Tyrell Roberts, San Francisco (WCC)",Sr.,5-11,G,34,188,88,88,552,16.2,2023
156,"Kelton Talford, Winthrop (Big South)",Jr.,6-7,F,30,184,0,119,487,16.2,2023
157,"Steven Ashworth, Utah St. (Mountain West)",Jr.,6-1,G,35,167,111,122,567,16.2,2023
158,"Kobe King, Valparaiso (MVC)",Jr.,6-4,G,32,195,19,109,518,16.2,2023
159,"Jordan Hawkins, UConn (Big East)",So.,6-5,G,37,182,109,125,598,16.2,2023
159,"Isaiah Wong, Miami (FL) (ACC)",Jr.,6-4,G,37,192,61,153,598,16.2,2023
161,"Ricky Council IV, Arkansas (SEC)",Jr.,6-6,G,36,187,34,173,581,16.1,2023
162,"Gerrale Gates, Holy Cross (Patriot)",Sr.,6-6,F,31,204,1,91,500,16.1,2023
163,"RJ Davis, North Carolina (ACC)",Jr.,6-0,G,33,179,63,111,532,16.1,2023
164,"Setric Millner Jr., Toledo (MAC)",Sr.,6-7,F,35,204,58,98,564,16.1,2023
165,"Parker Stewart, UT Martin (OVC)",Sr.,6-5,G,30,160,87,76,483,16.1,2023
165,"Justin Wright, N.C. Central (MEAC)",Jr.,6-2,G,30,168,36,111,483,16.1,2023
167,"Aanen Moody, Montana (Big Sky)",Sr.,6-3,G,27,141,70,82,434,16.1,2023
168,"Jalen Benjamin, Mount St. Mary's (MAAC)",Sr.,5-10,G,31,171,49,106,497,16,2023
169,"JT Shumate, Toledo (MAC)",Sr.,6-7,F,35,200,57,104,561,16,2023
170,"Austin Crowley, Southern Miss. (Sun Belt)",Jr.,6-5,G,33,188,70,82,528,16,2023
171,"Primo Spears, Georgetown (Big East)",So.,6-3,G,32,194,27,96,511,16,2023
172,"Colin Castleton, Florida (SEC)",Sr.,6-11,F,26,150,2,113,415,16,2023
173,"Marko Maletic, LIU (NEC)",So.,6-6,G,24,136,69,41,382,15.9,2023
174,"Ryan Kalkbrenner, Creighton (Big East)",Jr.,7-1,C,34,219,6,97,541,15.9,2023
175,"Armando Bacot, North Carolina (ACC)",Sr.,6-10,F,32,185,0,139,509,15.9,2023
175,"Mason Harrell, Texas St. (Sun Belt)",Sr.,5-9,G,32,171,45,122,509,15.9,2023
177,"Javian McCollum, Siena (MAAC)",So.,6-2,G,27,136,52,105,429,15.9,2023
178,"Courvoisier McCauley, Indiana St. (MVC)",Sr.,6-5,G,35,193,111,59,556,15.9,2023
178,"Tristan da Silva, Colorado (Pac-12)",Jr.,6-9,F,35,211,54,80,556,15.9,2023
180,"Tommy Bruner, Denver (Summit League)",Jr.,6-1,G,32,157,48,146,508,15.9,2023
180,"Grant Sherfield, Oklahoma (Big 12)",Sr.,6-2,G,32,169,82,88,508,15.9,2023
182,"Marcus Carr, Texas (Big 12)",Sr.,6-2,G,38,208,82,105,603,15.9,2023
183,"KJ Simpson, Colorado (Pac-12)",So.,6-2,G,29,158,37,107,460,15.9,2023
184,"Umoja Gibson, DePaul (Big East)",Sr.,6-1,G,33,168,89,98,523,15.8,2023
185,"Kobe Brown, Missouri (SEC)",Sr.,6-7,F,34,194,51,99,538,15.8,2023
186,"Tre Jackson, Western Caro. (SoCon)",Jr.,6-0,G,33,168,113,73,522,15.8,2023
187,"TJ Bamba, Washington St. (Pac-12)",Jr.,6-5,G,31,166,55,103,490,15.8,2023
188,"Jahmir Young, Maryland (Big Ten)",Sr.,6-2,G,35,184,42,143,553,15.8,2023
189,"Bryce Hopkins, Providence (Big East)",So.,6-7,F,33,174,28,145,521,15.8,2023
190,"Trevian Tennyson, A&M-Corpus Christi (Southland)",Sr.,6-4,G,35,185,100,81,551,15.7,2023
191,"Gerald Drumgoole Jr., UAlbany (America East)",Sr.,6-5,F,31,147,79,115,488,15.7,2023
192,"Tolu Smith, Mississippi St. (SEC)",Sr.,6-11,F,34,194,0,147,535,15.7,2023
193,"Khalid Moore, Fordham (Atlantic 10)",Sr.,6-7,F,33,174,33,138,519,15.7,2023
194,"Dwight Murray, Jr., Rider (MAAC)",Sr.,6-0,G,29,161,50,82,454,15.7,2023
195,"Tyler Robertson, Portland (WCC)",Jr.,6-6,G,32,147,43,163,500,15.6,2023
196,"Josh Oduro, George Mason (Atlantic 10)",Sr.,6-9,F,33,201,7,106,515,15.6,2023
197,"Travis Evee, Rice (C-USA)",Jr.,6-1,G,35,177,79,113,546,15.6,2023
197,"Daniss Jenkins, Iona (MAAC)",Jr.,6-3,G,35,199,56,92,546,15.6,2023
199,"Adam Flagler, Baylor (Big 12)",Sr.,6-3,G,32,168,80,83,499,15.6,2023
200,"Jalen Slawson, Furman (SoCon)",Sr.,6-7,F,36,193,41,134,561,15.6,2023
201,"Tristan Enaruna, Cleveland St. (Horizon)",Jr.,6-8,F,35,213,10,109,545,15.6,2023
201,"Chris Harris, Southeast Mo. St. (OVC)",Sr.,6-3,G,35,158,62,167,545,15.6,2023
203,"Jordan King, ETSU (SoCon)",Sr.,6-0,G,32,174,69,81,498,15.6,2023
204,"Hunter Maldonado, Wyoming (Mountain West)",Sr.,6-7,G,29,148,24,131,451,15.6,2023
205,"Kahliel Spear, Robert Morris (Horizon)",Sr.,6-7,F,33,196,17,103,512,15.5,2023
206,"Dae Dae Grant, Duquesne (Atlantic 10)",Jr.,6-2,G,33,164,94,89,511,15.5,2023
207,"David Coit, NIU (MAC)",So.,5-11,G,29,158,81,52,449,15.5,2023
208,"Ray'Sean Taylor, SIUE (OVC)",So.,6-1,G,32,154,74,113,495,15.5,2023
209,"Morgan Safford, Miami (OH) (MAC)",Jr.,6-5,G,27,140,41,96,417,15.4,2023
210,"Eric Dixon, Villanova (Big East)",Sr.,6-8,F,34,190,42,103,525,15.4,2023
211,"Ja'Monta Black, Northwestern St. (Southland)",Jr.,6-3,G,32,151,122,70,494,15.4,2023
211,"Dwight Wilson, Ohio (MAC)",Sr.,6-8,F,32,204,0,86,494,15.4,2023
213,"Jaylen Sebree, Tennessee Tech (OVC)",Sr.,6-7,F,33,179,62,89,509,15.4,2023
214,"Jalen Blackmon, Stetson (ASUN)",So.,6-3,G,31,162,71,83,478,15.4,2023
214,"Enoch Cheeks, Robert Morris (Horizon)",Jr.,6-3,G,31,174,49,81,478,15.4,2023
216,"Gregory ""GG"" Jackson II, South Carolina (SEC)",Fr.,6-9,F,32,177,55,84,493,15.4,2023
217,"Daryl Banks III, St. Bonaventure (Atlantic 10)",Jr.,6-3,G,32,144,79,125,492,15.4,2023
218,"Gedi Juozapaitis, Maine (America East)",Sr.,6-4,G,30,170,73,48,461,15.4,2023
219,"Nico Galette, Sacred Heart (NEC)",Jr.,6-6,F,33,200,36,71,507,15.4,2023
220,"Tyzhaun Claude, Western Caro. (SoCon)",Jr.,6-8,F,31,174,2,126,476,15.4,2023
221,"Erik Stevenson, West Virginia (Big 12)",Sr.,6-4,G,34,185,78,74,522,15.4,2023
222,"Dawson Baker, UC Irvine (Big West)",Jr.,6-3,G,35,188,48,113,537,15.3,2023
223,"Keyonte George, Baylor (Big 12)",Fr.,6-4,G,33,155,77,119,506,15.3,2023
224,"Moses Wood, Portland (WCC)",Jr.,6-8,F,29,135,75,99,444,15.3,2023
225,"Dawson Garcia, Minnesota (Big Ten)",So.,6-11,F,26,149,30,70,398,15.3,2023
226,"PJ Hall, Clemson (ACC)",Jr.,6-10,F,33,192,33,88,505,15.3,2023
227,"Clarence Daniels, New Hampshire (America East)",Jr.,6-6,F,30,165,32,97,459,15.3,2023
228,"Jordan Miller, Miami (FL) (ACC)",Sr.,6-7,G,37,218,32,98,566,15.3,2023
229,"Hunter Tyson, Clemson (ACC)",Sr.,6-8,F,34,172,83,93,520,15.3,2023
230,"Jyare Davis, Delaware (CAA)",So.,6-7,F,31,196,11,71,474,15.3,2023
230,"Demaree King, Jacksonville St. (ASUN)",Sr.,6-0,G,31,165,103,41,474,15.3,2023
232,"Jordan Sears, UT Martin (OVC)",So.,5-11,G,32,163,31,132,489,15.3,2023
233,"Blake Hinson, Pittsburgh (ACC)",Jr.,6-7,F,36,181,97,91,550,15.3,2023
234,"Steele Venters, Eastern Wash. (Big Sky)",So.,6-7,F,34,185,78,71,519,15.3,2023
235,"Damian Dunn, Temple (AAC)",So.,6-5,G,31,138,48,149,473,15.3,2023
236,"Julian Strawther, Gonzaga (WCC)",Jr.,6-7,G,37,190,80,104,564,15.2,2023
237,"Joel Soriano, St. John's (NY) (Big East)",Sr.,6-11,F,33,188,0,127,503,15.2,2023
238,"Jamarius Burton, Pittsburgh (ACC)",Sr.,6-4,G,34,199,18,102,518,15.2,2023
239,"Jordan Gainey, USC Upstate (Big South)",So.,6-4,G,32,168,70,81,487,15.2,2023
240,"Austin Ash, The Citadel (SoCon)",Sr.,6-3,G,30,148,102,58,456,15.2,2023
241,"Sam Griffin, Tulsa (AAC)",Jr.,6-3,G,26,142,63,48,395,15.2,2023
242,"Terry Collins, Mississippi Val. (SWAC)",Sr.,6-3,G,32,153,80,100,486,15.2,2023
242,"Sam Mennenga, Davidson (Atlantic 10)",Jr.,6-9,F,32,183,30,90,486,15.2,2023
244,"Jalyn McCreary, Mercer (SoCon)",So.,0-0,F,33,228,0,45,501,15.2,2023
245,"Carlos Stewart, Santa Clara (WCC)",So.,6-1,G,33,174,58,94,500,15.2,2023
246,"Taylor Hendricks, UCF (AAC)",Fr.,6-9,F,34,184,61,86,515,15.1,2023
247,"Ant Nelson, Manhattan (MAAC)",Sr.,6-4,G,30,170,26,88,454,15.1,2023
248,"Boden Skunberg, North Dakota St. (Summit League)",Jr.,6-5,G,32,169,58,88,484,15.1,2023
249,"Jake Heidbreder, Air Force (Mountain West)",So.,6-5,G,32,168,75,72,483,15.1,2023
250,"Kyle Filipowski, Duke (ACC)",Fr.,7-0,C,36,189,35,130,543,15.1,2023
251,"Tosan Evbuomwan, Princeton (Ivy League)",Sr.,6-8,F,32,187,11,97,482,15.1,2023
252,"Jackson Paveletzke, Wofford (SoCon)",Fr.,6-3,G,33,167,46,117,497,15.1,2023
253,"Christian Shumate, McNeese (Southland)",So.,6-7,G,34,200,14,98,512,15.1,2023
254,"Kam Jones, Marquette (Big East)",So.,6-4,G,36,201,100,40,542,15.1,2023
255,"Josh Bannan, Montana (Big Sky)",Jr.,6-10,F,31,175,19,97,466,15,2023
255,"Will Douglas, Prairie View (SWAC)",Sr.,6-5,G,31,164,31,107,466,15,2023
255,"Curtis Jones, Buffalo (MAC)",So.,6-5,G,31,167,75,57,466,15,2023
255,"Eddy Kayouloud, Central Ark. (ASUN)",Sr.,6-7,F,31,187,36,56,466,15,2023
259,"Colby Jones, Xavier (Big East)",Jr.,6-6,G,36,207,45,81,540,15,2023
259,"DJ Davis, UC Irvine (Big West)",Jr.,6-0,G,34,160,88,102,510,15,2023
259,"Sean Pedulla, Virginia Tech (ACC)",So.,6-1,G,34,179,67,85,510,15,2023
259,"Felipe Haase, Southern Miss. (Sun Belt)",Sr.,6-9,F,33,161,61,112,495,15,2023
259,"LJ Cryer, Baylor (Big 12)",Jr.,6-1,G,31,163,80,59,465,15,2023
264,"Maks Klanjscek, Houston Christian (Southland)",Jr.,6-5,G,32,155,69,100,479,15,2023
265,"Latrell Jones, Nicholls (Southland)",Sr.,6-5,G,31,170,52,72,464,15,2023
266,"Mark Freeman, Morehead St. (OVC)",Sr.,5-10,G,30,143,55,108,449,15,2023
267,"Jase Townsend, San Diego (WCC)",Sr.,6-3,G,26,133,47,76,389,15,2023
268,"Jordan Nesbitt, Hampton (CAA)",So.,6-6,G,32,157,44,119,477,14.9,2023
268,"Isaiah Thompson, FGCU (ASUN)",Sr.,6-1,G,32,142,82,111,477,14.9,2023
270,"Paxson Wojcik, Brown (Ivy League)",Sr.,6-4,G,27,137,57,71,402,14.9,2023
271,"Tajion Jones, UNC Asheville (Big South)",Sr.,6-5,G,35,186,99,50,521,14.9,2023
272,"Nelly Joseph, Iona (MAAC)",Jr.,6-9,F,35,192,0,136,520,14.9,2023
273,"David DeJulius, Cincinnati (AAC)",Sr.,6-0,G,36,191,57,95,534,14.8,2023
273,"Kevin Cross, Tulane (AAC)",Jr.,6-8,F,30,163,15,104,445,14.8,2023
275,"Tyson Walker, Michigan St. (Big Ten)",Sr.,6-1,G,34,197,59,51,504,14.8,2023
276,"Daniel Ortiz, North Ala. (ASUN)",So.,6-0,G,33,170,105,44,489,14.8,2023
277,"KJ Simon, UT Martin (OVC)",Sr.,6-3,G,29,170,28,61,429,14.8,2023
278,"Brycen Long, Houston Christian (Southland)",Jr.,6-2,G,32,141,94,97,473,14.8,2023
279,"Walter Whyte, Boston U. (Patriot)",Sr.,6-6,F,31,162,48,86,458,14.8,2023
280,"D'Moi Hodge, Missouri (SEC)",Sr.,6-4,G,35,178,100,58,514,14.7,2023
281,"Keith Higgins Jr., Lehigh (Patriot)",So.,6-4,G,30,157,63,63,440,14.7,2023
282,"Chris Youngblood, Kennesaw St. (ASUN)",Jr.,6-4,G,35,168,81,96,513,14.7,2023
283,"Frankie Fidler, Omaha (Summit League)",So.,6-7,F,32,152,24,141,469,14.7,2023
284,"Charles Pride, Bryant (America East)",Sr.,6-4,G,29,143,54,84,424,14.6,2023
285,"Philip Alston, Loyola Chicago (Atlantic 10)",Jr.,6-6,F,31,154,28,117,453,14.6,2023
286,"John Tonje, Colorado St. (Mountain West)",Sr.,6-5,G,33,157,61,106,481,14.6,2023
287,"Jalen Haynes, ETSU (SoCon)",So.,6-8,F,32,176,3,111,466,14.6,2023
288,"Jlynn Counter, IUPUI (Horizon)",So.,6-3,G,31,172,17,90,451,14.5,2023
289,"Ty Johnson, UC Davis (Big West)",So.,6-3,G,31,149,21,131,450,14.5,2023
289,"Will Johnston, UTRGV (WAC)",So.,6-3,G,31,134,74,108,450,14.5,2023
291,"Isaac Mushila, A&M-Corpus Christi (Southland)",Sr.,6-5,F,35,160,15,172,507,14.5,2023
292,"Vonterius Woolbright, Western Caro. (SoCon)",Sr.,6-5,G,33,165,11,137,478,14.5,2023
293,"Jesse Edwards, Syracuse (ACC)",Sr.,6-11,C,32,180,1,102,463,14.5,2023
294,"Cameron Holden, Towson (CAA)",Sr.,6-5,F,30,155,18,106,434,14.5,2023
295,"Logan Johnson, Saint Mary's (CA) (WCC)",Sr.,6-2,G,35,182,35,107,506,14.5,2023
296,"Briggs McClain, Hartford (DI Independent)",Jr.,6-4,G,25,139,39,44,361,14.4,2023
297,"Tyreke Locure, ULM (Sun Belt)",Jr.,6-0,G,32,159,67,77,462,14.4,2023
298,"Matthew Murrell, Ole Miss (SEC)",Jr.,6-4,G,30,140,62,91,433,14.4,2023
299,"Miles Kelly, Georgia Tech (ACC)",So.,6-6,G,33,167,89,53,476,14.4,2023
300,"Joey Hauser, Michigan St. (Big Ten)",Sr.,6-9,F,34,164,77,85,490,14.4,2023
301,"Kevin Obanor, Texas Tech (Big 12)",Sr.,6-8,F,32,154,42,111,461,14.4,2023
302,"Kinyon Hodges, Eastern Ill. (OVC)",Jr.,6-2,G,26,148,24,54,374,14.4,2023
303,"Rob Perry, Murray St. (MVC)",Sr.,6-4,G,32,171,56,62,460,14.4,2023
303,"Kenny Strawbridge, Evansville (MVC)",Sr.,6-6,G,32,168,30,94,460,14.4,2023
305,"Brian Taylor, Central Mich. (MAC)",Sr.,6-6,G,31,165,31,84,445,14.4,2023
306,"Antonio Reeves, Kentucky (SEC)",Sr.,6-6,G,34,168,80,72,488,14.4,2023
307,"Keyshaun Langley, UNC Greensboro (SoCon)",Sr.,6-1,G,32,161,90,47,459,14.3,2023
308,"Jarron Coleman, Ball St. (MAC)",Sr.,6-5,G,30,143,68,76,430,14.3,2023
308,"Tyler Stephenson-Moore, Stony Brook (CAA)",Sr.,6-3,G,30,152,48,78,430,14.3,2023
308,"Kellen Tynes, Maine (America East)",So.,6-3,G,30,171,12,76,430,14.3,2023
311,"Khalil Brantley, La Salle (Atlantic 10)",So.,6-1,G,32,156,37,109,458,14.3,2023
312,"Mouhamed Gueye, Washington St. (Pac-12)",So.,6-11,F,33,186,11,89,472,14.3,2023
312,"Damarco Minor, SIUE (OVC)",So.,6-0,G,33,156,33,127,472,14.3,2023
314,"Anderson Mirambeaux, Miami (OH) (MAC)",Sr.,6-8,F,32,174,7,102,457,14.3,2023
315,"Andrei Savrasov, Ga. Southern (Sun Belt)",Sr.,6-7,F,29,160,33,61,414,14.3,2023
316,"Tyson Acuff, Eastern Mich. (MAC)",Jr.,6-4,G,30,151,52,74,428,14.3,2023
316,"Kruz Perrott-Hunt, South Dakota (Summit League)",Sr.,6-3,G,30,152,58,66,428,14.3,2023
318,"Boogie Anderson, Southeastern La. (Southland)",Sr.,6-4,G,31,187,0,68,442,14.3,2023
319,"Javan Johnson, DePaul (Big East)",Sr.,6-6,F,33,171,82,46,470,14.2,2023
320,"Kris Bankston, Norfolk St. (MEAC)",Sr.,6-8,F,32,179,2,95,455,14.2,2023
321,"Jett Howard, Michigan (Big Ten)",Fr.,6-8,G,29,137,78,60,412,14.2,2023
322,"Trazarien White, UNCW (CAA)",So.,6-6,F,34,167,22,127,483,14.2,2023
323,"Asher Woods, VMI (SoCon)",Fr.,6-3,G,32,160,49,85,454,14.2,2023
324,"Ricky Clemons, Campbell (Big South)",Sr.,6-2,G,34,150,27,155,482,14.2,2023
324,"Caleb Daniels, Villanova (Big East)",Sr.,6-4,G,34,158,75,91,482,14.2,2023
324,"Qua Grant, Sam Houston (WAC)",Sr.,6-1,G,34,176,55,75,482,14.2,2023
327,"Oumar Ballo, Arizona (Pac-12)",So.,7-0,C,35,189,0,118,496,14.2,2023
328,"Seth Lundy, Penn St. (Big Ten)",Sr.,6-6,F,36,165,92,88,510,14.2,2023
328,"Evan Taylor, Lehigh (Patriot)",Sr.,6-6,G,30,151,55,68,425,14.2,2023
330,"Jack Nunge, Xavier (Big East)",Sr.,7-0,F,37,200,40,84,524,14.2,2023
331,"Jahsean Corbett, Chicago St. (DI Independent)",So.,6-6,G,31,173,34,59,439,14.2,2023
331,"Skyelar Potter, Jacksonville St. (ASUN)",Sr.,6-3,G,31,142,76,79,439,14.2,2023
333,"Marcus Watson, N.C. A&T (CAA)",Jr.,6-6,G,32,165,44,79,453,14.2,2023
334,"Johni Broome, Auburn (SEC)",So.,6-10,F,33,194,9,70,467,14.2,2023
335,"Tyson Degenhart, Boise St. (Mountain West)",So.,6-7,F,34,191,38,61,481,14.1,2023
336,"Marcus Tsohonis, Long Beach St. (Big West)",Jr.,6-3,G,28,145,28,78,396,14.1,2023
337,"Xander Rice, Bucknell (Patriot)",Sr.,6-3,G,32,153,69,77,452,14.1,2023
337,"Matt Rogers, American (Patriot)",Jr.,6-9,F,32,182,20,68,452,14.1,2023
339,"Miles Norris, UC Santa Barbara (Big West)",Sr.,6-10,F,35,177,59,81,494,14.1,2023
340,"Zach Austin, High Point (Big South)",So.,6-7,F,31,149,62,77,437,14.1,2023
341,"Kellen Amos, Central Conn. St. (NEC)",Jr.,6-6,G,32,173,63,42,451,14.1,2023
342,"Kenan Blackshear, Nevada (Mountain West)",Sr.,6-6,G,33,156,18,135,465,14.1,2023
343,"Gradey Dick, Kansas (Big 12)",Fr.,6-8,G,36,174,83,76,507,14.1,2023
344,"Spencer Jones, Stanford (Pac-12)",Sr.,6-7,F,32,164,72,50,450,14.1,2023
345,"Filip Rebraca, Iowa (Big Ten)",Sr.,6-9,F,33,177,2,108,464,14.1,2023
346,"Chase Audige, Northwestern (Big Ten)",Sr.,6-4,G,34,166,67,79,478,14.1,2023
347,"Max Rice, Boise St. (Mountain West)",Sr.,6-5,G,34,168,74,66,476,14,2023
347,"Kobe Bufkin, Michigan (Big Ten)",So.,6-4,G,33,173,43,73,462,14,2023
347,"Gibson Jimerson, Saint Louis (Atlantic 10)",So.,6-5,G,33,168,85,41,462,14,2023
347,"Jordan Henderson, Canisius (MAAC)",Sr.,6-4,G,26,131,54,48,364,14,2023
Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
1,"Zach Edey, Purdue (Big Ten)",Sr.,7-4,C,39,336,1,310,983,25.2,2024
2,"Tommy Bruner, Denver (Summit League)",Sr.,6-1,G,34,262,82,210,816,24,2024
3,"Terrence Shannon Jr., Illinois (Big Ten)",Sr.,6-6,G,32,219,77,221,736,23,2024
4,"Tyler Thomas, Hofstra (CAA)",Sr.,6-3,G,33,265,125,87,742,22.5,2024
5,"Xavier Johnson, Southern Ill. (MVC)",Sr.,6-1,G,32,211,68,219,709,22.2,2024
6,"David Jones, Memphis (AAC)",Jr.,6-6,F,32,223,79,173,698,21.8,2024
7,"Tyson Acuff, Eastern Mich. (MAC)",Sr.,6-4,G,27,219,49,99,586,21.7,2024
8,"Dalton Knecht, Tennessee (SEC)",Sr.,6-6,G,36,264,93,159,780,21.7,2024
9,"Jordan Sears, UT Martin (OVC)",Jr.,5-11,G,32,227,76,162,692,21.6,2024
10,"Tucker DeVries, Drake (MVC)",Jr.,6-7,G,34,245,87,157,734,21.6,2024
11,"Mark Sears, Alabama (SEC)",Sr.,6-1,G,37,252,95,198,797,21.5,2024
12,"Jaedon LeDee, San Diego St. (Mountain West)",Sr.,6-9,F,36,263,20,226,772,21.4,2024
13,"Jordan Johnson, New Orleans (Southland)",Sr.,6-1,G,32,210,81,182,683,21.3,2024
14,"Jalen Blackmon, Stetson (ASUN)",Jr.,6-3,G,35,244,110,146,744,21.3,2024
15,"PJ Haggerty, Tulsa (AAC)",Fr.,6-3,G,31,199,22,237,657,21.2,2024
16,"RJ Davis, North Carolina (ACC)",Sr.,6-0,G,37,260,113,151,784,21.2,2024
17,"BJ Freeman, Milwaukee (Horizon)",Jr.,6-6,G,27,189,66,126,570,21.1,2024
18,"Vonterius Woolbright, Western Caro. (SoCon)",Sr.,6-6,G,32,236,10,193,675,21.1,2024
19,"Keion Brooks Jr., Washington (Pac-12)",Sr.,6-7,F,32,228,52,166,674,21.1,2024
20,"Riley Minix, Morehead St. (OVC)",Sr.,6-7,F,35,272,59,130,733,20.9,2024
21,"Landon  Glasper, N.C. A&T (CAA)",So.,6-2,G,24,152,62,135,501,20.9,2024
22,"Jayden Stone, Detroit Mercy (Horizon)",Sr.,6-4,G,26,188,62,104,542,20.8,2024
23,"Dillon Jones, Weber St. (Big Sky)",Jr.,6-6,F,31,215,34,180,644,20.8,2024
24,"David Coit, NIU (MAC)",Jr.,5-11,G,29,200,94,108,602,20.8,2024
25,"Elijah Pepper, UC Davis (Big West)",Sr.,6-4,G,33,216,101,149,682,20.7,2024
26,"Drew Pember, UNC Asheville (Big South)",Sr.,6-10,F,33,193,67,228,681,20.6,2024
27,"Marcus Hill, Bowling Green (MAC)",Jr.,6-4,G,34,255,26,162,698,20.5,2024
28,"Xander Rice, Monmouth (CAA)",Sr.,6-3,G,33,201,91,181,674,20.4,2024
29,"Jahmir Young, Maryland (Big Ten)",Sr.,6-2,G,32,199,56,198,652,20.4,2024
30,"DaRon Holmes II, Dayton (Atlantic 10)",Jr.,6-10,F,33,217,32,206,672,20.4,2024
31,"Antonio Reeves, Kentucky (SEC)",Sr.,6-6,G,33,235,84,113,667,20.2,2024
32,"Frankie Fidler, Omaha (Summit League)",Jr.,6-7,F,33,198,52,216,664,20.1,2024
33,"Tyon Grant-Foster, Grand Canyon (WAC)",Sr.,6-7,G,34,212,50,210,684,20.1,2024
34,"Ajay Mitchell, UC Santa Barbara (Big West)",Jr.,6-4,G,29,195,33,157,580,20,2024
34,"Noah Reynolds, Green Bay (Horizon)",Jr.,6-3,G,27,202,34,102,540,20,2024
36,"Marques Warrick, Northern Ky. (Horizon)",Sr.,6-2,G,33,217,67,156,657,19.9,2024
37,"Issac McBride, Oral Roberts (Summit League)",Sr.,6-0,G,31,205,65,138,613,19.8,2024
38,"Trazarien White, UNCW (CAA)",Jr.,6-6,F,30,202,23,166,593,19.8,2024
39,"Saint Thomas, Northern Colo. (Big Sky)",Jr.,6-7,F,32,224,65,118,631,19.7,2024
40,"Devin Carter, Providence (Big East)",Jr.,6-3,G,33,219,84,128,650,19.7,2024
41,"KJ Simpson, Colorado (Pac-12)",Jr.,6-2,G,37,243,79,163,728,19.7,2024
42,"Chaz Lanier, North Florida (ASUN)",Jr.,6-4,G,32,214,106,95,629,19.7,2024
43,"Tristan Enaruna, Cleveland St. (Horizon)",Sr.,6-8,F,35,252,28,155,687,19.6,2024
44,"Sebastian Thomas, UAlbany (America East)",Jr.,6-1,G,32,218,50,141,627,19.6,2024
45,"Kobe Sanders, Cal Poly (Big West)",Sr.,6-8,G,29,178,38,174,568,19.6,2024
46,"Trey Calvin, Wright St. (Horizon)",Sr.,6-0,G,31,212,62,121,607,19.6,2024
46,"Jaylon Tyson, California (Pac-12)",Jr.,6-6,G,31,222,50,113,607,19.6,2024
48,"Anthony Dell'Orso, Campbell (CAA)",So.,6-6,G,32,224,49,127,624,19.5,2024
49,"Clarence Daniels, New Hampshire (America East)",Sr.,6-6,F,31,207,53,135,602,19.4,2024
50,"Quincy Olivari, Xavier (Big East)",Jr.,6-3,G,34,198,106,149,651,19.1,2024
51,"Jacob Crews, UT Martin (OVC)",Jr.,6-8,G,32,206,89,111,612,19.1,2024
52,"Jason Edwards, North Texas (AAC)",So.,6-0,G,34,214,84,138,650,19.1,2024
53,"Wade Taylor IV, Texas A&M (SEC)",Jr.,6-0,G,36,214,98,161,687,19.1,2024
54,"Boo Buie, Northwestern (Big Ten)",Sr.,6-2,G,34,215,89,127,646,19,2024
55,"Dion Brown, UMBC (America East)",So.,6-3,G,32,246,45,70,607,19,2024
56,"Mervin James, Rider (MAAC)",Sr.,6-7,F,32,223,21,139,606,18.9,2024
57,"Mikeal Brown-Jones, UNC Greensboro (SoCon)",Sr.,6-8,F,28,174,25,155,528,18.9,2024
58,"Judah Mintz, Syracuse (ACC)",So.,6-3,G,32,188,24,202,602,18.8,2024
59,"Zeke Mayo, South Dakota St. (Summit League)",Jr.,6-4,G,35,218,92,130,658,18.8,2024
59,"Kino Lilly Jr., Brown (Ivy League)",Jr.,6-0,G,30,197,90,80,564,18.8,2024
61,"De'Sean Allen-Eikens, CSUN (Big West)",Sr.,6-6,G,33,209,35,167,620,18.8,2024
62,"Ken Evans, Jackson St. (SWAC)",Jr.,6-5,G,32,189,62,161,601,18.8,2024
63,"Wesley Cardet, Chicago St. (DI Independent)",Jr.,6-6,G,31,196,44,143,579,18.7,2024
64,"Basheer Jihad, Ball St. (MAC)",Jr.,6-9,F,30,176,40,167,559,18.6,2024
65,"Enrique Freeman, Akron (MAC)",Sr.,6-7,F,35,233,20,166,652,18.6,2024
66,"Jayden Epps, Georgetown (Big East)",So.,6-2,G,29,177,64,119,537,18.5,2024
67,"Baylor Scheierman, Creighton (Big East)",Sr.,6-7,G,35,219,110,99,647,18.5,2024
68,"Blake Hinson, Pittsburgh (ACC)",Sr.,6-7,F,33,201,110,97,609,18.5,2024
69,"JP Pegues, Furman (SoCon)",Jr.,6-1,G,30,172,83,126,553,18.4,2024
70,"Robert McCray, Jacksonville (ASUN)",So.,6-4,G,32,212,54,111,589,18.4,2024
71,"Tyson Walker, Michigan St. (Big Ten)",Sr.,6-1,G,34,238,64,85,625,18.4,2024
72,"Kevin McCullar Jr., Kansas (Big 12)",Sr.,6-7,G,26,159,39,120,477,18.3,2024
73,"PJ Hall, Clemson (ACC)",Sr.,6-10,F,36,240,52,127,659,18.3,2024
74,"Rayquan Brown, Mississippi Val. (SWAC)",Sr.,6-6,G,30,197,41,114,549,18.3,2024
75,"James Bishop IV, George Washington (Atlantic 10)",Sr.,6-2,G,32,183,71,148,585,18.3,2024
